date,close,cash,shares,position_value,equity
2025-02-07,1125.0,158.29298200004268,924,1039500.0,1039658.292982
2025-02-10,1105.0,158.29298200004268,924,1021020.0,1021178.292982
2025-02-11,1110.0,158.29298200004268,924,1025640.0,1025798.292982
2025-02-12,1100.0,158.29298200004268,924,1016400.0,1016558.292982
2025-02-13,1090.0,158.29298200004268,924,1007160.0,1007318.292982
2025-02-14,1060.0,974776.717993,0,0.0,974776.717993
2025-02-17,1085.0,974776.717993,0,0.0,974776.717993
2025-02-18,1100.0,504.1551580000669,884,972400.0,972904.1551580001
2025-02-19,1090.0,504.1551580000669,884,963560.0,964064.1551580001
2025-02-20,1080.0,950524.2714760001,0,0.0,950524.2714760001
2025-02-21,1095.0,950524.2714760001,0,0.0,950524.2714760001
2025-02-24,1075.0,950524.2714760001,0,0.0,950524.2714760001
2025-02-25,1055.0,950524.2714760001,0,0.0,950524.2714760001
2025-02-26,1060.0,950524.2714760001,0,0.0,950524.2714760001
2025-02-27,1040.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-03,1020.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-04,1000.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-05,1020.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-06,1005.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-07,1005.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-10,998.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-11,971.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-12,988.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-13,965.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-14,959.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-17,970.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-18,971.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-19,952.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-20,985.0,950524.2714760001,0,0.0,950524.2714760001
